"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
1375,134.432,80,17120,"Inside","1.5Fin",4,4,1959,1959,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","TA","Y",1120,468,1588,0,0,2,0,4,"TA",7,1,"Detchd",2,680,"TA","TA",0,59,0,0
1068,421.25,130,16900,"Inside","2Story",8,5,2001,2002,"Gd","TA","PConc","Ex","TA","GLQ",1075,404,1479,"GasA","Ex","Y",1515,1134,2649,1,0,2,1,4,"Gd",10,1,"Attchd",3,746,"TA","TA",0,60,0,0
1378,129.5,70,11200,"Inside","1Story",5,5,1965,1965,"TA","TA","CBlock","TA","TA","Rec",906,134,1040,"GasA","Ex","Y",1040,0,1040,1,0,1,0,3,"TA",5,0,"Detchd",1,384,"TA","TA",0,0,0,0
1105,290,0,11929,"CulDSac","2Story",8,7,1995,1995,"Gd","TA","PConc","Gd","TA","Unf",0,1242,1242,"GasA","Ex","Y",1251,1250,2501,0,0,2,1,4,"Gd",9,1,"Attchd",3,751,"TA","TA",192,87,0,0
1699,250,98,11428,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1626,1626,"GasA","Ex","Y",1634,0,1634,0,0,2,0,3,"Gd",7,1,"Attchd",3,866,"TA","TA",0,44,0,0
2515,200,114,8314,"Corner","2Story",7,5,1997,1998,"Gd","TA","PConc","Gd","TA","Unf",0,569,569,"GasA","Ex","Y",854,840,1694,0,0,2,1,3,"Gd",6,1,"BuiltIn",1,434,"TA","TA",0,382,0,110
552,160,75,8250,"Inside","2Story",6,7,1981,1981,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",964,918,1882,0,0,2,0,4,"TA",8,2,"Attchd",2,612,"TA","TA",0,0,0,0
233,260,0,23595,"Inside","1Story",7,6,1979,1979,"Gd","TA","PConc","Gd","TA","GLQ",1258,74,1332,"GasA","TA","Y",1332,192,1524,2,0,0,1,0,"Gd",4,1,"Attchd",2,586,"TA","TA",268,0,0,0
1612,167.3,85,10667,"Inside","1Story",6,6,1971,1971,"TA","TA","CBlock","TA","TA","BLQ",838,749,1587,"GasA","TA","Y",1587,0,1587,0,0,2,0,3,"TA",7,1,"Attchd",2,525,"TA","TA",0,44,0,0
1015,334,60,8118,"Inside","1Story",9,5,2007,2007,"Ex","TA","PConc","Ex","TA","GLQ",1034,676,1710,"GasA","Ex","Y",1710,0,1710,1,0,2,0,2,"Ex",6,1,"Attchd",2,557,"TA","TA",156,48,0,0
168,192,80,9760,"Inside","1Story",6,7,1963,1984,"TA","TA","CBlock","TA","TA","BLQ",717,415,1395,"GasA","TA","Y",1395,0,1395,1,0,1,0,2,"TA",7,1,"Attchd",2,440,"TA","TA",657,0,113,240
2818,149.9,134,17755,"Inside","1Story",5,4,1959,1959,"TA","TA","CBlock","TA","TA","BLQ",176,1290,1466,"GasA","TA","Y",1466,0,1466,0,0,1,1,3,"Fa",6,2,"Attchd",2,528,"TA","TA",0,140,0,100
2378,144,24,2179,"Inside","2Story",6,5,1976,1976,"TA","TA","CBlock","Gd","TA","ALQ",70,785,855,"GasA","Gd","Y",855,601,1456,0,0,2,1,3,"TA",6,1,"Attchd",2,460,"TA","TA",0,28,0,0
2929,170,77,10010,"Inside","1Story",5,5,1974,1975,"TA","TA","CBlock","Gd","TA","ALQ",1071,195,1389,"GasA","Gd","Y",1389,0,1389,1,0,1,0,2,"TA",6,1,"Attchd",2,418,"TA","TA",240,38,0,0
494,168,64,7848,"Inside","SLvl",7,6,1999,1999,"TA","TA","PConc","TA","TA","Unf",0,384,384,"GasA","Ex","Y",774,656,1430,0,0,2,1,3,"TA",7,1,"BuiltIn",2,410,"TA","TA",0,0,0,0
489,190,42,8433,"Inside","2Story",6,5,2000,2000,"TA","TA","PConc","Gd","TA","GLQ",683,111,794,"GasA","Ex","Y",819,695,1514,1,0,2,1,3,"TA",7,1,"Attchd",2,394,"TA","TA",0,72,0,0
2317,320,134,19378,"Corner","2Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",57,1335,1392,"GasA","Ex","Y",1392,1070,2462,1,0,2,1,4,"Gd",9,1,"Attchd",2,576,"TA","TA",239,132,0,0
557,141,0,8499,"Corner","1Story",5,6,1961,1961,"TA","TA","CBlock","TA","TA","GLQ",660,204,864,"GasA","Ex","Y",864,0,864,1,0,1,0,3,"TA",5,0,"Detchd",2,732,"TA","TA",0,312,0,0
954,173,0,9947,"CulDSac","SLvl",7,5,1990,1991,"TA","TA","PConc","Gd","TA","GLQ",611,577,1188,"GasA","Ex","Y",1217,0,1217,1,0,2,0,3,"Gd",6,0,"Attchd",2,497,"TA","TA",168,27,0,0
992,206.9,85,11075,"Inside","2Story",6,5,1969,1969,"TA","TA","CBlock","Fa","TA","ALQ",500,176,952,"GasA","TA","Y",1092,1020,2112,0,0,2,1,4,"TA",9,2,"Attchd",2,576,"TA","TA",280,0,0,0
415,147,24,2364,"Inside","2Story",6,5,1978,1978,"TA","TA","CBlock","Gd","TA","ALQ",320,484,804,"GasA","TA","Y",804,744,1548,0,1,2,1,3,"TA",7,1,"Detchd",2,440,"TA","TA",108,0,0,0
